STN_ID,LAT,LON,ALT
90,38.25085,128.56473,17.53
93,37.94738,127.75443,95.78
95,38.14787,127.3042,155.48
98,37.90188,127.0607,115.62
99,37.88589,126.76648,30.59
100,37.67713,128.71834,772.43
101,37.90262,127.7357,75.82
102,37.97396,124.71237,36
104,37.80456,128.85535,75.24
105,37.75147,128.89099,27.12
106,37.50709,129.12433,40.46
108,37.57142,126.9658,85.67
112,37.47772,126.6249,68.99
114,37.33749,127.94659,150.11
115,37.48129,130.89863,221.14
119,37.25746,126.983,39.81
121,37.18126,128.45743,240.54
127,36.97045,127.9525,114.85
129,36.77658,126.4939,25.25
130,36.99176,129.41278,48.98
131,36.63924,127.44066,58.7
133,36.37199,127.3721,67.79
135,36.22025,127.99458,244.98
136,36.57293,128.70733,141.26
137,36.40837,128.15741,96.58
138,36.03201,129.38002,3.94
140,36.0053,126.76135,27.85
143,35.87797,128.65296,54.27
146,35.84092,127.11718,60.44
152,35.58237,129.33469,81.14
155,35.17019,128.57282,34.97
156,35.17294,126.89156,70.28
159,35.10468,129.03203,69.56
162,34.84541,128.43561,31.24
165,34.81732,126.38151,44.7
168,34.73929,127.74063,65.93
169,34.68719,125.45105,75.12
170,34.3959,126.70182,35.37
172,35.34824,126.599,52.42
174,35.0204,127.3694,165
177,36.65759,126.68772,27.74
181,36.63994,127.38458,33.55
184,33.51411,126.52969,20.79
185,33.29382,126.16283,71.39
188,33.38677,126.8802,20.34
189,33.24616,126.5653,51.86
192,35.16378,128.04004,29.35
201,37.70739,126.44634,47.84
202,37.48863,127.49446,47.26
203,37.26399,127.48421,80.09
211,38.05991,128.16811,202
212,37.6836,127.88043,140.2
216,37.17038,128.98929,714.45
217,37.38071,128.67312,312
221,37.15928,128.19433,264.62
226,36.48761,127.73415,171.31
232,36.76217,127.29282,84.78
235,36.32724,126.55744,9.98
236,36.27242,126.92079,13.42
238,36.10563,127.48175,170.17
239,36.48522,127.24438,89.5
243,35.72961,126.71657,12.2
244,35.61203,127.28556,247.04
245,35.56333,126.83904,68.7
247,35.4213,127.39652,133.49
248,35.65696,127.52031,406.87
252,35.28366,126.47784,37.2
253,35.22981,128.89075,54.59
254,35.37131,127.1286,129.38
255,35.22655,128.6726,50.95
257,35.30737,129.02009,6.29
258,34.76335,127.21226,1.41
259,34.64457,126.78408,16.19
260,34.68886,126.91951,43.99
261,34.55375,126.56907,16.36
262,34.61826,127.27572,51.91
263,35.32258,128.28812,14.1
264,35.51138,127.74538,152.07
266,34.9434,127.6914,88.21
268,34.47296,126.25846,9.82
271,36.94361,128.91449,324.67
272,36.87183,128.51687,211.32
273,36.62727,128.14879,173.01
276,36.4351,129.04005,208.65
277,36.53337,129.40926,40.71
278,36.3561,128.68864,81.44
279,36.13055,128.32055,49.17
281,35.97742,128.9514,96.12
283,35.81747,129.20123,40.13
284,35.66739,127.9099,228.45
285,35.56505,128.16994,26.72
288,35.49147,128.74412,8.31
289,35.413,127.8791,138.22
294,34.88818,128.60459,44.83
295,34.81662,127.92641,45.71
296,35.21778,128.96024,3
