STN_ID,latitude,longitude,altitude,VI004_row,VI004_col,VI005_row,VI005_col,VI006_row,VI006_col,VI008_row,VI008_col,NR013_row,NR013_col,NR016_row,NR016_col,SW038_row,SW038_col,WV063_row,WV063_col,WV069_row,WV069_col,WV073_row,WV073_col,IR087_row,IR087_col,IR096_row,IR096_col,IR105_row,IR105_col,IR112_row,IR112_col,IR123_row,IR123_col,IR133_row,IR133_col
90,38.25085,128.56473,17.53,868.883,1118.036,868.883,1118.036,1738.265,2236.572,868.883,1118.036,434.191,558.768,434.191,558.768,434.191,558.768,434.191,558.768,434.191,558.768,434.191,558.768,434.191,558.768,434.191,558.768,434.191,558.768,434.191,558.768,434.191,558.768,434.191,558.768
93,37.94738,127.75443,95.78,903.544,1049.724,903.544,1049.724,1807.588,2099.949,903.544,1049.724,451.522,524.612,451.522,524.612,451.522,524.612,451.522,524.612,451.522,524.612,451.522,524.612,451.522,524.612,451.522,524.612,451.522,524.612,451.522,524.612,451.522,524.612,451.522,524.612
95,38.14787,127.3042,155.48,882.607,1010.824,882.607,1010.824,1765.714,2022.148,882.607,1010.824,441.053,505.162,441.053,505.162,441.053,505.162,441.053,505.162,441.053,505.162,441.053,505.162,441.053,505.162,441.053,505.162,441.053,505.162,441.053,505.162,441.053,505.162,441.053,505.162
98,37.90188,127.0607,115.62,909.508,990.393,909.508,990.393,1819.517,1981.286,909.508,990.393,454.504,494.946,454.504,494.946,454.504,494.946,454.504,494.946,454.504,494.946,454.504,494.946,454.504,494.946,454.504,494.946,454.504,494.946,454.504,494.946,454.504,494.946,454.504,494.946
99,37.88589,126.76648,30.59,911.525,965.198,911.525,965.198,1823.551,1930.897,911.525,965.198,455.513,482.349,455.513,482.349,455.513,482.349,455.513,482.349,455.513,482.349,455.513,482.349,455.513,482.349,455.513,482.349,455.513,482.349,455.513,482.349,455.513,482.349,455.513,482.349
100,37.67713,128.71834,772.43,930.454,1133.226,930.454,1133.226,1861.408,2266.952,930.454,1133.226,464.977,566.363,464.977,566.363,464.977,566.363,464.977,566.363,464.977,566.363,464.977,566.363,464.977,566.363,464.977,566.363,464.977,566.363,464.977,566.363,464.977,566.363,464.977,566.363
101,37.90262,127.7357,75.82,908.418,1048.226,908.418,1048.226,1817.336,2096.951,908.418,1048.226,453.959,523.863,453.959,523.863,453.959,523.863,453.959,523.863,453.959,523.863,453.959,523.863,453.959,523.863,453.959,523.863,453.959,523.863,453.959,523.863,453.959,523.863,453.959,523.863
102,37.97396,124.71237,36.0,901.429,789.288,901.429,789.288,1803.359,1579.076,901.429,789.288,450.465,394.394,450.465,394.394,450.465,394.394,450.465,394.394,450.465,394.394,450.465,394.394,450.465,394.394,450.465,394.394,450.465,394.394,450.465,394.394,450.465,394.394,450.465,394.394
104,37.80456,128.85535,75.24,916.267,1144.51,916.267,1144.51,1833.034,2289.52,916.267,1144.51,457.883,572.005,457.883,572.005,457.883,572.005,457.883,572.005,457.883,572.005,457.883,572.005,457.883,572.005,457.883,572.005,457.883,572.005,457.883,572.005,457.883,572.005,457.883,572.005
105,37.75147,128.89099,27.12,921.896,1147.774,921.896,1147.774,1844.293,2296.048,921.896,1147.774,460.698,573.637,460.698,573.637,460.698,573.637,460.698,573.637,460.698,573.637,460.698,573.637,460.698,573.637,460.698,573.637,460.698,573.637,460.698,573.637,460.698,573.637,460.698,573.637
106,37.50709,129.12433,40.46,947.568,1168.835,947.568,1168.835,1895.636,2338.17,947.568,1168.835,473.534,584.167,473.534,584.167,473.534,584.167,473.534,584.167,473.534,584.167,473.534,584.167,473.534,584.167,473.534,584.167,473.534,584.167,473.534,584.167,473.534,584.167,473.534,584.167
108,37.57142,126.9658,85.67,945.36,982.693,945.36,982.693,1891.219,1965.885,945.36,982.693,472.43,491.096,472.43,491.096,472.43,491.096,472.43,491.096,472.43,491.096,472.43,491.096,472.43,491.096,472.43,491.096,472.43,491.096,472.43,491.096,472.43,491.096,472.43,491.096
112,37.47772,126.6249,68.99,955.793,953.408,955.793,953.408,1912.085,1907.316,955.793,953.408,477.646,476.454,477.646,476.454,477.646,476.454,477.646,476.454,477.646,476.454,477.646,476.454,477.646,476.454,477.646,476.454,477.646,476.454,477.646,476.454,477.646,476.454,477.646,476.454
