step,variant,branch,feature,included
0,step0_current_baseline,CatBoost,VI004,True
0,step0_current_baseline,CatBoost,VI005,True
0,step0_current_baseline,CatBoost,VI006,True
0,step0_current_baseline,CatBoost,VI008,True
0,step0_current_baseline,CatBoost,NR013,True
0,step0_current_baseline,CatBoost,NR016,True
0,step0_current_baseline,CatBoost,SW038,True
0,step0_current_baseline,CatBoost,WV063,True
0,step0_current_baseline,CatBoost,WV069,True
0,step0_current_baseline,CatBoost,WV073,True
0,step0_current_baseline,CatBoost,IR087,True
0,step0_current_baseline,CatBoost,IR096,True
0,step0_current_baseline,CatBoost,IR105,True
0,step0_current_baseline,CatBoost,IR112,True
0,step0_current_baseline,CatBoost,IR123,True
0,step0_current_baseline,CatBoost,IR133,True
0,step0_current_baseline,CatBoost,clean_window_105_112,True
0,step0_current_baseline,CatBoost,split_window_112_123,True
0,step0_current_baseline,CatBoost,window_105_123,True
0,step0_current_baseline,CatBoost,ozone_window_096_112,True
0,step0_current_baseline,CatBoost,cloud_phase_087_112,True
0,step0_current_baseline,CatBoost,low_wv_window_073_112,True
0,step0_current_baseline,CatBoost,mid_wv_window_069_112,True
0,step0_current_baseline,CatBoost,upper_wv_window_063_112,True
0,step0_current_baseline,CatBoost,fog_window_038_112,True
0,step0_current_baseline,CatBoost,co2_window_133_112,True
0,step0_current_baseline,CatBoost,wv_vertical_063_073,True
0,step0_current_baseline,CatBoost,LAT,True
0,step0_current_baseline,CatBoost,LON,True
0,step0_current_baseline,CatBoost,ALT,True
0,step0_current_baseline,CatBoost,doy_sin,True
0,step0_current_baseline,CatBoost,doy_cos,True
0,step0_current_baseline,CatBoost,cos_solar_zenith,True
0,step0_current_baseline,CatBoost,month,True
0,step0_current_baseline,CatBoost,day,True
0,step0_current_baseline,CatBoost,dayofyear,True
0,step0_current_baseline,CatBoost,solar_azimuth,True
0,step0_current_baseline,CatBoost,solar_declination,True
0,step0_current_baseline,CatBoost,local_solar_time,True
0,step0_current_baseline,CatBoost,equation_of_time,True
0,step0_current_baseline,LSTM_static,LAT,True
0,step0_current_baseline,LSTM_static,LON,True
0,step0_current_baseline,LSTM_static,ALT,True
0,step0_current_baseline,LSTM_static,doy_sin,True
0,step0_current_baseline,LSTM_static,doy_cos,True
0,step0_current_baseline,LSTM_static,cos_solar_zenith,True
0,step0_current_baseline,LSTM_static,solar_azimuth,True
0,step0_current_baseline,LSTM_static,sequence_missing_fraction,True
1,step1_drop_ridge_pair_features,CatBoost,VI004,True
1,step1_drop_ridge_pair_features,CatBoost,VI005,True
1,step1_drop_ridge_pair_features,CatBoost,VI006,True
1,step1_drop_ridge_pair_features,CatBoost,VI008,True
1,step1_drop_ridge_pair_features,CatBoost,NR013,True
1,step1_drop_ridge_pair_features,CatBoost,NR016,True
1,step1_drop_ridge_pair_features,CatBoost,SW038,True
1,step1_drop_ridge_pair_features,CatBoost,WV063,True
1,step1_drop_ridge_pair_features,CatBoost,WV069,True
1,step1_drop_ridge_pair_features,CatBoost,WV073,True
1,step1_drop_ridge_pair_features,CatBoost,IR087,True
1,step1_drop_ridge_pair_features,CatBoost,IR096,True
1,step1_drop_ridge_pair_features,CatBoost,IR105,True
1,step1_drop_ridge_pair_features,CatBoost,IR112,True
1,step1_drop_ridge_pair_features,CatBoost,IR123,True
1,step1_drop_ridge_pair_features,CatBoost,IR133,True
1,step1_drop_ridge_pair_features,CatBoost,clean_window_105_112,True
1,step1_drop_ridge_pair_features,CatBoost,split_window_112_123,True
1,step1_drop_ridge_pair_features,CatBoost,window_105_123,True
1,step1_drop_ridge_pair_features,CatBoost,ozone_window_096_112,True
1,step1_drop_ridge_pair_features,CatBoost,cloud_phase_087_112,True
1,step1_drop_ridge_pair_features,CatBoost,low_wv_window_073_112,True
