variant,target,fold_year,train_sequences,validation_sequences,cat_iterations,residual_lstm_epoch,cat_RMSE,residual_target_RMSE,scale1_RMSE
step0_current_baseline,TA,2022,1969,665,272,16,3.1937072079916495,2.5826209555737725,2.5826209555737725
step0_current_baseline,TA,2023,2634,672,500,7,2.3277365130884955,2.104459072629585,2.104459072629585
step0_current_baseline,TA,2024,3306,670,494,4,3.00020781119867,2.754792659574591,2.754792659574591
step0_current_baseline,HM,2022,1970,665,377,9,13.83192736294238,11.126967746248386,11.126967746248386
step0_current_baseline,HM,2023,2635,672,499,17,9.866998987492408,7.991076815508668,7.991076815508668
step0_current_baseline,HM,2024,3307,670,496,9,7.815089650654854,7.564059084022116,7.564059084022116
step2_drop_redundant_calendar_solar,TA,2022,1969,665,373,16,3.1462451073080215,2.648697562637864,2.648697562637864
step2_drop_redundant_calendar_solar,TA,2023,2634,672,500,7,2.353543519110843,2.0979071379023755,2.0979071379023755
step2_drop_redundant_calendar_solar,TA,2024,3306,670,499,3,2.984942994463794,2.785926647726777,2.785926647726777
step2_drop_redundant_calendar_solar,HM,2022,1970,665,493,9,13.546054927401865,11.111931078266512,11.111931078266512
step2_drop_redundant_calendar_solar,HM,2023,2635,672,500,13,9.671073941091521,7.810089618044527,7.810089618044527
step2_drop_redundant_calendar_solar,HM,2024,3307,670,500,24,7.766815882424943,7.659140631783155,7.659140631783155
step3_drop_lstm_missing_fraction,TA,2022,1969,665,373,16,3.1462451073080215,2.7233195860971082,2.7233195860971082
step3_drop_lstm_missing_fraction,TA,2023,2634,672,500,7,2.353543519110843,2.0764326630679903,2.0764326630679903
step3_drop_lstm_missing_fraction,TA,2024,3306,670,499,2,2.984942994463794,2.7536540804848415,2.7536540804848415
step3_drop_lstm_missing_fraction,HM,2022,1970,665,493,8,13.546054927401865,11.141791352927036,11.141791352927036
step3_drop_lstm_missing_fraction,HM,2023,2635,672,500,13,9.671073941091521,7.8204527442653395,7.8204527442653395
step3_drop_lstm_missing_fraction,HM,2024,3307,670,500,1,7.766815882424943,7.615913495892226,7.615913495892226
step4_drop_lstm_seasonal_azimuth,TA,2022,1969,665,373,20,3.1462451073080215,2.674619071495314,2.674619071495314
step4_drop_lstm_seasonal_azimuth,TA,2023,2634,672,500,7,2.353543519110843,2.0559233188240187,2.0559233188240187
step4_drop_lstm_seasonal_azimuth,TA,2024,3306,670,499,3,2.984942994463794,2.8276457051403483,2.8276457051403483
step4_drop_lstm_seasonal_azimuth,HM,2022,1970,665,493,13,13.546054927401865,10.941890146131634,10.941890146131634
step4_drop_lstm_seasonal_azimuth,HM,2023,2635,672,500,13,9.671073941091521,7.598009502016359,7.598009502016359
step4_drop_lstm_seasonal_azimuth,HM,2024,3307,670,500,11,7.766815882424943,7.576710356896009,7.576710356896008
step5_reduce_catboost_pair_features,TA,2022,1969,665,466,33,3.1327346654972543,2.6743430778494326,2.6743430778494326
step5_reduce_catboost_pair_features,TA,2023,2634,672,481,15,2.389071146020652,2.0836110188780936,2.0836110188780936
step5_reduce_catboost_pair_features,TA,2024,3306,670,500,4,2.9651372040579704,2.7924296799582984,2.7924296799582984
step5_reduce_catboost_pair_features,HM,2022,1970,665,499,13,14.032985667531383,11.472696711149293,11.472696711149293
step5_reduce_catboost_pair_features,HM,2023,2635,672,500,13,9.841030168232443,7.7102015283640695,7.7102015283640695
step5_reduce_catboost_pair_features,HM,2024,3307,670,393,11,7.781188413317833,7.405934558840603,7.405934558840603
