split,model,n,RMSE,MAE,bias,corr
rolling_oof,CatBoost_Raw,2007,2.8633393740900863,2.421739632466325,-0.5972842048340857,0.64927045634256
rolling_oof,CatBoost_Calibrated,2007,2.8003506833734813,2.296551395718076,1.1329032159602992e-16,0.64927045634256
rolling_oof,Baseline_FullRaw,2007,2.4587098562747824,2.098194444325849,-0.521883218988441,0.759457765001755
rolling_oof,Exp1_FullCalibrated,2007,2.4010504676396853,2.03882286374419,-9.063225727682394e-16,0.760018123362364
rolling_oof,Exp2_CatResidualLSTM,2007,2.3417447464516306,1.942196085701913,2.2658064319205984e-16,0.7740929047973472
rolling_oof,Exp3_NoRidge,2007,2.400684723932925,2.03843791904628,-7.930322511722095e-16,0.7600830242985559
test_2025,CatBoost_Raw,672,2.6044367602625687,2.1641115541373543,-1.9885422258148686,0.7281428145105607
test_2025,CatBoost_Calibrated,672,2.1827481612182376,1.7181463342024237,-1.3912580209807837,0.7281428145105606
test_2025,Baseline_FullRaw,672,2.8901532896460536,2.4820280014539637,-2.342581445811582,0.7089281769455317
test_2025,Exp1_FullCalibrated,672,2.466812390189909,2.0518316005393187,-1.8053139125936972,0.7136564874161551
test_2025,Exp2_CatResidualLSTM,672,1.9371060949650765,1.5074681459977195,-1.0388671305172748,0.7412280811622559
test_2025,Exp3_NoRidge,672,2.4651197611698628,2.0501768980093398,-1.803677217013038,0.7139501911869465
