split,model,n,RMSE,MAE,bias,corr
forward_meta_oof,raw,1342,7.876482472951219,6.17012011959154,-1.2311136350885619,0.8502306653514078
meta_oof_2023,raw,672,8.109167329496726,6.278929466277467,-2.9450341735237036,0.8874335444237238
meta_oof_2024,raw,670,7.6359841655441665,6.0609859688856575,0.4879230840583269,0.7448063930426267
forward_meta_oof,offset,1342,8.925343330676839,7.132811836296535,-3.2597131779581345,0.8259671826295606
meta_oof_2023,offset,672,10.058434047528356,8.212281245518833,-6.639783655656492,0.887433544423724
meta_oof_2024,offset,670,7.621496026146224,6.050120130330291,0.1304470623602181,0.744806393042627
forward_meta_oof,affine,1342,8.962063438726497,7.126694483342187,-3.0256863389023985,0.8217532130566088
meta_oof_2023,affine,672,10.172760236728662,8.269523985573604,-6.541568456501388,0.8874335444237227
meta_oof_2024,affine,670,7.555326444601273,5.980453549760826,0.5006909491968848,0.7448063930426273
forward_meta_oof,affine_with_oof_TA,1342,8.728194687946097,6.90861545771603,-3.674863907840317,0.8436334489511275
meta_oof_2023,affine_with_oof_TA,672,9.786970038170248,7.905830034396713,-6.4210897402036915,0.8921329964424295
meta_oof_2024,affine_with_oof_TA,670,7.51794286233586,5.908424121104956,-0.9204403864251112,0.7593724656109223
rolling_oof_refit,HM_CatBoost,2007,10.787947838408941,8.413088051023905,0.7433515153659981,0.7306041349328746
rolling_oof_refit,HM_DirectLSTM,2007,8.21973379594047,6.376215900065713,0.2159520858665812,0.8533672429297512
rolling_oof_refit,HM_CatResidualRaw,2007,8.931083049668132,6.955642135393175,0.4010233718632059,0.8262870435303232
rolling_oof_refit,HM_SelectedCalibrated,2007,8.931083049668132,6.955642135393175,0.4010233718632059,0.8262870435303232
test_2025,HM_CatBoost,672,8.337967484004439,6.416703333498777,1.4412867946610999,0.6718042961379942
test_2025,HM_DirectLSTM,672,7.752469833671715,6.106662040665036,0.17825319085802352,0.7143647580854492
test_2025,HM_CatResidualRaw,672,7.205701385188182,5.666992907520377,0.10942977060472917,0.762300513959979
test_2025,HM_SelectedCalibrated,672,7.205701385188182,5.666992907520377,0.10942977060472917,0.762300513959979
