split,model,n,RMSE,MAE,bias,corr
rolling_oof,TA_PooledOOF,2007,2.34174475503374,1.9421960938749065,1.3304876545011417e-09,0.7740929065958411
rolling_oof,TA_LatestOOFCalibrated,2007,2.826408276145805,2.2084511177549135,1.582660811967451,0.7740929065958413
test_2025,TA_PooledOOF,672,1.9371061339975189,1.507468205602364,-1.0388671526561426,0.7412280746883736
test_2025,TA_LatestOOFCalibrated,672,1.7230341714438213,1.3418509625149095,0.5437936579808216,0.7412280746883737
oof_2022,TA_PooledOOF,665,2.8898276031506223,2.5536200018663635,2.377828833993708,0.8689768856704287
oof_2022,TA_LatestOOFCalibrated,665,4.287483158845777,3.994527102252088,3.9604896446306705,0.8689768856704287
oof_2023,TA_PooledOOF,672,1.8017343457358097,1.4518229860958711,-0.7751092690606562,0.8273582738530124
oof_2023,TA_LatestOOFCalibrated,672,1.8159272468693701,1.4463281897710283,0.8075515415763066,0.8273582738530124
oof_2024,TA_PooledOOF,670,2.209532180645346,1.8271719589692248,-1.5826608106369637,0.8247837673681188
oof_2024,TA_LatestOOFCalibrated,670,1.541822692718371,1.2001019803139434,-2.9694323285496725e-16,0.8247837673681186
